college_name,address,year,organization_type,size,area,graduation_rate,financial_aid,sat_score
University of St. Thomas,"Houston, TX",4-year,Private,Small,Urban,66%,$19K,1000-1200
Central Michigan University,"Mount Pleasant, MI",4-year,Public,Large,Rural,62%,$16K,970-1200
Illinois Valley Community College,"Oglesby, IL",2-year,Public,Small,Rural,Unknown,$8K,Unknown
University of Washington Tacoma,"Tacoma, WA",4-year,Public,Medium,Urban,54%,$11K,960-1200
Mercy College of Ohio,"Toledo, OH",4-year,Private,Small,Urban,38%,$15K,830-1000
North Carolina Central University,"Durham, NC",4-year,Public,Medium,Urban,44%,$14K,820-970
University of California: Merced,"Merced, CA",4-year,Public,Medium,Rural,67%,$14K,1030-1350
Columbia College,"Columbia, SC",4-year,Private,Small,Urban,55%,$19K,883-1120
Towson University,"Towson, MD",4-year,Public,Very Large,Suburban,70%,$14K,950-1230
Eastern Oregon University,"La Grande, OR",4-year,Public,Small,Rural,38%,$15K,940-1140
Louisiana State University in Shreveport,"Shreveport, LA",4-year,Public,Small,Urban,33%,$8K,930-1150
Georgia Gwinnett College,"Lawrenceville, GA",4-year,Public,Large,Suburban,20%,$11K,910-1140
Western Oregon University,"Monmouth, OR",4-year,Public,Medium,Rural,48%,$17K,985-1220
East Carolina University,"Greenville, NC",4-year,Public,Very Large,Urban,65%,$14K,1060-1220
Tennessee State University,"Nashville, TN",4-year,Public,Medium,Urban,33%,$12K,900-1030
Texas State University,"San Marcos, TX",4-year,Public,Very Large,Suburban,56%,$14K,990-1180
University of Louisiana at Lafayette,"Lafayette, LA",4-year,Public,Large,Urban,51%,$13K,990-1210
Grand View University,"Des Moines, IA",4-year,Private,Small,Urban,52%,$20K,860-1170
University of North Carolina at Greensboro,"Greensboro, NC",4-year,Public,Large,Urban,58%,$11K,1150-1335
University of Mount Union,"Alliance, OH",4-year,Private,Small,Suburban,62%,$23K,480-590
SUNY College of Technology at Canton,"Canton, NY",4-year,Public,Small,Rural,46%,$14K,960-1130
Wright State University,"Dayton, OH",4-year,Public,Medium,Suburban,44%,$16K,910-1245
Indiana University South Bend,"South Bend, IN",4-year,Public,Medium,Suburban,36%,$9K,980-1170
Iowa State University,"Ames, IA",4-year,Public,Very Large,Urban,74%,$15K,1120-1330
Valdosta State University,"Valdosta, GA",4-year,Public,Medium,Urban,41%,$13K,950-1120
South Dakota State University,"Brookings, SD",4-year,Public,Medium,Rural,59%,$18K,1045-1280
University of Texas at San Antonio,"San Antonio, TX",4-year,Public,Very Large,Suburban,54%,$13K,1010-1210
Elizabeth City State University,"Elizabeth City, NC",4-year,Public,Small,Rural,42%,$4K,750-970
College of Coastal Georgia,"Brunswick, GA",4-year,Public,Small,Urban,22%,$12K,920-1110
Worcester State University,"Worcester, MA",4-year,Public,Medium,Urban,59%,$14K,1040-1217
University of Southern Indiana,"Evansville, IN",4-year,Public,Medium,Suburban,51%,$14K,1040-1220
University of Wisconsin-Stevens Point,"Stevens Point, WI",4-year,Public,Medium,Rural,56%,$14K,1025-1230
San Francisco State University,"San Francisco, CA",4-year,Public,Very Large,Urban,55%,$13K,940-1130
Goshen College,"Goshen, IN",4-year,Private,Small,Suburban,64%,$19K,863-1130
Indiana University Northwest,"Gary, IN",4-year,Public,Small,Suburban,38%,$7K,940-1180
New Saint Andrews College,"Moscow, ID",4-year,Private,Small,Urban,81%,$15K,1155-1358
Ball State University,"Muncie, IN",4-year,Public,Large,Suburban,64%,$13K,1080-1240
University of Texas of the Permian Basin,"Odessa, TX",4-year,Public,Medium,Urban,40%,$10K,930-1100
Stephen F. Austin State University,"Nacogdoches, TX",4-year,Public,Medium,Rural,53%,$14K,980-1160
Davenport University,"Grand Rapids, MI",4-year,Private,Medium,Suburban,48%,$18K,928-1140
University of New Mexico,"Albuquerque, NM",4-year,Public,Very Large,Urban,51%,$11K,910-1150
Glenville State University,"Glenville, WV",4-year,Public,Small,Rural,33%,$18K,850-1020
