College Name,Address,Year,Organization Type,Size,Area,Graduation Rate,Financial Aid,SAT Score,Net Price,Majors,Rank,Logo URL,Logo2 URL,University URL,country
Instituto Tecnologico Autonomo de Mexico,"Mexico City, Mexico",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Mexico
Instituto Tecnologico y de Estudios Superiores de Occidente,"Tlaquepaque, Mexico",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Mexico
Universidad Anahuac,"Huixquilucan, Mexico",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Mexico
Universidad Autonoma de Coahuila,"Saltillo, Mexico",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Mexico
Universidad de Monterrey,"San Pedro Garza Garcia, Mexico",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Mexico
Al Akhawayn University,"Ifrane, Morocco",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Morocco
American University of Myanmar,"Yangon, Myanmar",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Myanmar
"Rotterdam School of Management, Erasmus University","Rotterdam, Netherlands",4-year,Unknown,Small Graduation rate not available Average annual cost after aid not available SAT score range not available,Unknown,Unknown,Unknown,Unknown,,,,,,,Netherlands
Erasmus University College,"Rotterdam, Netherlands",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Netherlands
Leiden University,"Leiden, Netherlands",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Netherlands
Leiden University College The Hague,"The Hague, Netherlands",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Netherlands
Maastricht University,"Maastricht, Netherlands",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Netherlands
University College Roosevelt,"Middelburg, Netherlands",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Netherlands
University College Utrecht,"Utrecht, Netherlands",4-year,Public,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Netherlands
University of Groningen,"Groningen, Netherlands",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Netherlands
University Of Twente,"Enschede, Netherlands",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Netherlands
Webster University the Netherlands,"Leiden, Netherlands",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Netherlands
Massey University,"Palmerston North, New Zealand",Unknown,Public,Small,Suburban,Unknown,Unknown,Unknown,,,,,,,New Zealand
University of Auckland,"Auckland, New Zealand",Unknown,Private,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,New Zealand
University of Canterbury,"Christchurch, New Zealand",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,New Zealand
Victoria University of Wellington,"Wellington, New Zealand",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,New Zealand
Forman Christian College,"Lahore, Pakistan",4-year,Unknown,Medium Graduation rate not available Average annual cost after aid not available SAT score range not available,Unknown,Unknown,Unknown,Unknown,,,,,,,Pakistan
Lahore University of Management Sciences,"Lahore, Pakistan",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Pakistan
National University of Computer and Emerging Sciences,"Islamabad, Pakistan",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Pakistan
De La Salle University,"Manila, Philippines",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Philippines
Warsaw University of Technology,"Warsaw, Poland",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Poland
